fid,GID_0,COUNTRY,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,SIS_RegionName,ToSplit
2873,SRB,Serbia,SRB.18_1,Severno-Banatski,North Banat,Севернобанатски,Okrug,District,NA,RS.SN,NA,Serbia,NA
2874,SRB,Serbia,SRB.19_1,Srednje-Banatski,Central Banat,Средњебанатски,Okrug,District,NA,RS.SD,NA,Serbia,NA
2875,SRB,Serbia,SRB.20_1,Sremski,Srem,Сремски,Okrug,District,NA,RS.SM,NA,Serbia,NA
2876,SRB,Serbia,SRB.21_1,Šumadijski,Šumadija,Шумадијски,Okrug,District,NA,RS.SU,NA,Serbia,NA
2877,SRB,Serbia,SRB.22_1,Toplički,Toplica,Топлички,Okrug,District,NA,RS.TO,NA,Serbia,NA
2878,SRB,Serbia,SRB.23_1,Zaječarski,Zaječar,Зајечарски,Okrug,District,NA,RS.ZJ,NA,Serbia,NA
2879,SRB,Serbia,SRB.24_1,Zapadno-Bački,West Bačka,Западнобачки,Okrug,District,NA,RS.ZC,NA,Serbia,NA
2880,SRB,Serbia,SRB.25_1,Zlatiborski,Zlatibor,Златиборски,Okrug,District,NA,RS.ZL,NA,Serbia,NA
2891,STP,São Tomé and Príncipe,STP.1_1,Príncipe,NA,NA,Concelho,Municipality,NA,ST.PR,NA,Principe,NA
2892,STP,São Tomé and Príncipe,STP.2_1,São Tomé,NA,NA,Concelho,Municipality,NA,ST.ST,NA,S�o Tom�,NA
2948,SYC,Seychelles,SYC.1_1,Anse aux Pins,NA,NA,District,District,NA,SC.PI,SC-01,Seychelles (main island group),NA
2949,SYC,Seychelles,SYC.2_1,Anse Boileau,NA,NA,District,District,NA,SC.AB,SC-02,Seychelles (main island group),NA
2950,SYC,Seychelles,SYC.3_1,Anse Étoile,NA,NA,District,District,NA,SC.ET,NA,Seychelles (main island group),NA
2951,SYC,Seychelles,SYC.4_1,Anse Royale,NA,NA,District,District,NA,SC.RO,SC-05,Seychelles (main island group),NA
2952,SYC,Seychelles,SYC.5_1,Au Cap,NA,NA,District,District,NA,SC.LO,NA,Seychelles (main island group),NA
2953,SYC,Seychelles,SYC.6_1,Baie Lazare,NA,NA,District,District,NA,SC.BL,SC-06,Seychelles (main island group),NA
2954,SYC,Seychelles,SYC.7_1,Baie Sainte Anne,NA,NA,District,District,NA,SC.BS,SC-07,Seychelles (main island group),NA
2955,SYC,Seychelles,SYC.8_1,Beau Vallon,NA,NA,District,District,NA,SC.BV,SC-08,Seychelles (main island group),NA
